,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
10,gp:AOqpTOEXZvCxeSt0dixCgHQSxyuwH65XY54N6bsD0F7Pa2BOSNV3FPBS9qRPlv6Z9YsSdLQ8PsqhkTlZ95tm2A,Deniz Kilicoglu,https://play-lh.googleusercontent.com/-ZGQ--XXgg5A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckQD4Nz1YNMt99faa2FCLWpBX_a4w/photo.jpg,Harika bir uygulama çok seviyorum.,5,2,4.19,2020-02-12 22:40:24,,
11,gp:AOqpTOFoK8j_O8I7zGYQSRzQZG9EsQY7i3S4uis61W8Innp7S5Mi4Am2G5r0W3fmNaETYise5vVjoGkR3F_13Q,Fatih Uzun,https://play-lh.googleusercontent.com/a-/AOh14GiImWmYsL4aW7WvVReEdbS0SLNS3R_wGPAa-QDrhw,Güzel bir uygulama rahatlatıcı,5,0,,2019-12-02 17:33:34,,
12,gp:AOqpTOECyeRYmKVPAHiVQirvfO0JB7SWw8P5My5YNEoPLwCPYEVCi-Kps7jIVJAeDLcOiJaAhkpOcyKDC5QW4A,Nurullah Horoz,https://play-lh.googleusercontent.com/a-/AOh14GiarahDuR1DGYW24rJZ25Uk9TsCynFA1ahXlVt_qw,En iyi kafa dinlendiren uygulama,5,4,4.17,2019-12-17 04:04:40,,
13,gp:AOqpTOGFAv8ICRY0UDfCqS5eo250msKVNf_2uFJc3ceKxAU0cwFlvHm6JeA5aelwqSB0_xGwMZDLKdsgnvrL9A,Umut Kılıç,https://play-lh.googleusercontent.com/a-/AOh14GjpBr9n9-JKAme3Ggf01GkoLRJfeKq9Tk-KiOPpXg,arkadaşlar sweatcoin uygulamasını indirerek koşu yürüyüş gibi spor aktivitelerini yaparak uygulanin ücretli sekmelerini 12 coin biriktirdikten sonra kolaylıkla açabilirsiniz www1.sweatco.in/hi/umutkilic buyrun uygulamanın linki,5,1,,2019-05-28 17:17:59,,
14,gp:AOqpTOEPnZJRZg4bFjxrMkxEsTqi7_HQ0xfxG_K4u3Xz76dOIWRM-ch-pHkGm7ExQQ8Jx9dSCCyn6zf_H3S7Pw,Google kullanıcısı,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Türünde en iyisi bu.,5,4,4.4.1,2019-02-10 12:59:07,,
15,gp:AOqpTOF8cLg41IMUe3eyHsFY1FjJ9SSKbiV2j0bdJWW6_YDfIpf21oNGcWwHtI6DqODwbNLvtlKZgyWYnkJsGg,Fuat Filizkol yt,https://play-lh.googleusercontent.com/a-/AOh14GhMu140vWx7RqmxTjeJhuxmR4f_8oIVYoBQxJWYsg,Tek kelimeyle muazzam,5,1,4.16,2019-12-05 00:41:51,,
16,gp:AOqpTOFuQyD9Skv_W_AsP-vY5JoN5KENYFjgvGNISpExY3WNlLuEcld__Z20hM8N3szDd63g_FshWCfrL6sSWQ,MERYEM'İN YUTUBU,https://play-lh.googleusercontent.com/-0YXUgMARgLw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKqKVb-_kW3RToY95yDIwAB8jTBA/photo.jpg,Harry için indirenler 🤭🤭🤭👍😍👌,5,8,,2020-07-06 20:07:49,,
17,gp:AOqpTOHidxSQSyOmvKmp9VX-xgiqhXm4LBOSbOQgweKQkWf67TUY8LGW-GAtr5IQ7q94-nqt4hntapVNTgIwqw,Derya Demir,https://play-lh.googleusercontent.com/-jAw-33iilV8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclb8Hc1V4ZT4BARcuVNJyhlZyQaHw/photo.jpg,Çok iyi bi uygulama♥️,5,4,4.25.1,2020-05-15 02:40:06,,
18,gp:AOqpTOGKQD2-2hRQJzM3-2FE-sscS6uZG3_zPZQA5dH-iJG0zx3rJhBf__Celo1p7sU6toNdoU3IJnbGyt4UeQ,Kcool23,https://play-lh.googleusercontent.com/a-/AOh14GgEovUtjFnkioNKI8plT7mQkx-4U_WZI9Dpi_HyPg,Çok güzel olmuş bu uygulama 👍❤️❤️❤️👍😀😀😌😌😃🙂😄:-D,5,0,5.0.1,2020-08-01 20:31:16,,
19,gp:AOqpTOEDGxiN2LE_WeCgjFx9b7z_RePxj14iBtYF61aaByOjmamqpEvZwNhCq3nzWn8G49l5oBSqyEb5xhzbfw,Nermin köse,https://play-lh.googleusercontent.com/a-/AOh14GjxMFKM5Qr84A-GszbbhR-CIh07agA7D8oyi4qUxg,Çok güzel bir uygulama.,5,23,4.13.1,2019-10-05 07:17:42,,
20,gp:AOqpTOHieMrkuYXp3kGDcSiAZ-ibkLzesQA-onH7ToaOxoJUP3xlmvcUKfHFTLugR6ZZ1_mDjNd64DPcYXQzzw,synthesia XXX,https://play-lh.googleusercontent.com/a-/AOh14Gh23_2dM1n3N7bQgwrXlSgb4-a8F0CTWtuaK7w,Çooook güzellll!,5,1,,2019-04-08 13:38:35,,
21,gp:AOqpTOHNdhw5TAFoAkpgPflwY9VZKc9GWmKy0lrgA3ZljTisvj21oc6OVNZQr2T0PrOppuuF_qRZeKPQS2hGxw,Nargiza Jarkinova,https://play-lh.googleusercontent.com/-0vdiCiVkjd0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnubLRRNr98wUwqF-B9hVXe3Q_oqw/photo.jpg,Super🤗🤗,5,0,5.8,2020-11-28 13:24:47,,
22,gp:AOqpTOESavw4_CRhDydF22oZv8Xb9pF3FY2slaYQ4PNFpqtWZ5FnxIOuoYemx0HGawgqxoFlFP9YQUdIPAkUMQ,Murat DÜZYURT,https://play-lh.googleusercontent.com/a-/AOh14GjrDk2QE3MFeY2uxvahIxo5i-4d1GlTvMpGEWlyXw,I want more Eva Green <3,5,2,4.29,2020-07-19 22:52:53,,
23,gp:AOqpTOFW_FNwgZKXKahyIjTKkWe_uK4UW8BkGVLMzd97JvESgjWR9vdoIXTGCv3nfJdWyRvJ6LwmJB_UQuQotw,Alejandro Martínez,https://play-lh.googleusercontent.com/a-/AOh14GgcYpymRKVzeUGM_vH7LnCotHpAQe76Ruwym6U6pTU,"Simply wonderful! it's just my second day, and it's been pretty nice. thank you!",5,0,4.27.1,2020-06-20 08:36:03,,
24,gp:AOqpTOHzkp-dYNfiivnLg5slflsUyaQJa90NEpgcWBcsizoBZfoOc5IfsK0sQ-OABbANyodT3FoMqLd8Z9TC3w,Ozan Kemal'in Günlüğü,https://play-lh.googleusercontent.com/a-/AOh14GiNBGuuJBYrLzmMDLDbdGfxl70Qsn99lqKLPXOp,Çok beğendim,5,0,4.19,2020-02-08 09:02:01,,
25,gp:AOqpTOGnrolcmmLzoU7nS8nzKXO40N9amukaO1Q_Bq_iJr0sJ5geDbPyOTXJkHHrf0eM_utI4_4qsPPt_gZaYg,Yeliz Aydemir,https://play-lh.googleusercontent.com/-fRQd4mJM3-U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnR71nh_9pvHOL1itXIBQ_72JY9Vw/photo.jpg,Amazing,5,0,4.18.1,2020-01-21 19:45:27,,
26,gp:AOqpTOElZvjOeE8NvtN_FsWJVAFAknj1s06wajYBKW49u8i41zHG3vfPHBjnDRPRxgKUcC6gTC27KLZ8NSLd3Q,i luv cats,https://play-lh.googleusercontent.com/a-/AOh14GjsaxHxXhAPbi8IZ7LvQO19gBIpyiK6rlHMEnViYQ,Its soo good bye,5,0,4.17,2019-12-25 21:01:58,,
27,gp:AOqpTOG7_cFJaI5GlrtLjIkVzGXuLoW-27ieBMN4acPXC0jkPRO1ZGVlM-94bZOGaYkAEsyLk0dKaAqXRHfssQ,Pelin Guven,https://play-lh.googleusercontent.com/-vSh0XIVW1QI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckBWUg9qOu9oQzJRZatTu30PgJJ-Q/photo.jpg,❤,5,0,4.16,2019-12-18 06:37:30,,
28,gp:AOqpTOFYJG2iA0h7ky1AF6c1U-mDcGsfnp48ZZN-z9HUA5BTKKzOjRwcFIsxrCBZ5LL-wIP2jHU0ruCS42rgxQ,Semra Cakmak,https://play-lh.googleusercontent.com/-H08zR8YOZYs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnyLhb4TnsIkgy5gj0q5TPoVUKb5A/photo.jpg,"I really love CALM☀️ Its guided meditations, the stories that have been told in the sessions, background music options, the sleeping stories, the breath exercises... Everything it offers is more than enough: just perfect. Thank you CALM💜",5,2,4.13.1,2019-10-07 20:52:35,,
29,gp:AOqpTOFJpcwzKvdX8dc-97I8D-cIECUSex9U6aeB4-gHnHpWo9ScG15f82tMEYqk4kgJOB369ZKLukJ6gUH4Ig,Furkan Cirit,https://play-lh.googleusercontent.com/a-/AOh14GiUW_4dmrOdo2rWnaMzh-etNPyqXMs6dJsqQ9obOw,I've realized that I'm a human being.,5,0,4.13.1,2019-10-09 12:09:20,,
30,gp:AOqpTOFNjPi2eqMmwsOQItMhjLeBVBMhe5hSYrh4Y2JvdRfDL2ndhfaQSGgdyMGDJEswwXHeYcCHC0E25Y7n3A,Ceren Sülün,https://play-lh.googleusercontent.com/-ta_N0zpWkCg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclTgvRiYqgE4SzsXn9xtjOcgV_NDA/photo.jpg,that's amazing app,5,0,4.11.4,2019-08-16 16:06:25,,
31,gp:AOqpTOHxwrPSMgN-gx9cnTQsY1_7LfUHuIW1ghf03kJfeFhL0UQWXDtpsqXpaH3xPn2nyELbZKoEZPNuEtvl4A,murat kamiloğlu,https://play-lh.googleusercontent.com/a-/AOh14Gg8z7mtCP7LFmY3VCikQlDkbRFk9Ru8R3Tt94AmSQ,"So i downloaded this app after reading tim ferris's book and oh boy does it deliver, the stories and the music is more boring than my highschool literature class which i thought was impossible so go ahead and download it ih approximately 30 seconds you will be drooling on your pillow thanks calm",5,0,4.11.2,2019-07-10 04:07:56,,
32,gp:AOqpTOF-3GlF_CnWnVnU0y_xO-uU8nWZOy9RplPCoFRcbtsfgBODjfMRX9Eu8TRkLAhdVZAlk94Le078bdji8Q,Dr. Leyla Kandur,https://play-lh.googleusercontent.com/-bCYvrLNSHBA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmBREnoC_m2o8rtt_7CVJhV9e6I-A/photo.jpg,Great App! I love it!,5,4,4.4.1,2019-01-07 20:34:30,,
33,gp:AOqpTOGFZearg8ClED8EtFqzaNPbQO3upIJxognM9ibqhEI_3BNmrVEhvA9jH0gywvr1jRlZ7Bdh0_dE4upvWA,Ali Eren Olgun,https://play-lh.googleusercontent.com/a-/AOh14Ghksp0Ef9JXqDx6e8pYh4idxFMu0M351jS2aAC0Azc,Best of its kind,5,1,4.3,2018-11-28 04:46:10,,
34,gp:AOqpTOExCgj5QncScT790IsDcwhxDXIzi-p9enL5xrKRUD3-Ahh3eAVktra9ocPast0itIQoHIeazxutvqKnWQ,Onur Kalkan,https://play-lh.googleusercontent.com/-Pd3S5ue47wk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclxtdspvCF42MlAt2gOkqIcdNsLpw/photo.jpg,Amazing,5,1,4.1.1,2019-03-31 16:07:31,,
35,gp:AOqpTOE29lDdfU5JDe73zN-LLXVZNOy7WBmF58EX_GEkTEY-lfvaD7Iprmy6AlAQzv0QNOsbX3dhqEK33U-Acg,Betul Soyler,https://play-lh.googleusercontent.com/a-/AOh14GiPQichynhPRcd4eK96yuxR1F79GE7_Ci8WyCgNgP4,It helps me to keep track of meditations and also offers too much other things too,5,8,4.1,2018-09-23 23:35:35,,
36,gp:AOqpTOF_CsLVIeDwwuYga88wDpCYxM9XhsJckyNMHnPpxRgtr7R8CoeDXdl3ZibKIsITf-GCcBz4Vd3pHZDXuA,serra elif oksar,https://play-lh.googleusercontent.com/a-/AOh14GgpE_TzaljABDKoprvEAjdLdEZI-4r2KIVT9aJjXQ,I really love the musics,5,0,3.20,2018-09-06 09:22:18,,
37,gp:AOqpTOENOKj1EQ9S-xi6yMj1i7Hb0rfDRaFpT--5N5GUs2hCaqwisUbpeu5b588bMPoxHDnAbhID-10nXvcYug,Oya I,https://play-lh.googleusercontent.com/-u8h3e5XWCno/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8jIsa5u_3ECMlTgO3Aqe97X_G5A/photo.jpg,"It is nice, thank you.",5,1,3.19,2018-08-04 22:48:01,,
38,gp:AOqpTOFx1rhv3v46CmZ7NGZi3NqjZ-UYk67Ohwq3qtSuKhD5liiHYhNZC3kC67bbF0yoZAoikhSP3h7hSJztXQ,Ilgın Yurt,https://play-lh.googleusercontent.com/a-/AOh14GjvAAJtLN1yMoRCkiq9vufm3bFdwYeMe9N1HLC7PSk,This helps me to get better sleep. Thanks 💜,5,1,3.18.2,2018-06-23 05:24:38,,
39,gp:AOqpTOEIYUIKLckecsPZpen-DrFYONFcPQMb3hnKW3_3Ue_bvkrTcqrAPxGDipnNf054YHuOjSgnHBZ622Fz6w,Tahir ÖRNEK,https://play-lh.googleusercontent.com/a-/AOh14GiW6wjDjo5qg_Kiga1daiIzB-NMjtUTbRbQHPQS,Tam sürüme geçebilmeyi istiyorum.,5,2,3.16,2018-05-03 06:13:27,,
40,gp:AOqpTOFlWAbNVBSfy8AnDVQMXQeFTA0sIbX01KkYTDjx6QgBbq1eq6WuxYM-vasF7EITh9IBpKda7sMnI6-A-A,Sinan Yıldırım,https://play-lh.googleusercontent.com/a-/AOh14GhFHItaVgFo3BfJwNWDSFFYOdfQRRGdvhaylraDdg,"Uğraşılmış meditasyon ve sesler var ycretli kisminda daha iyi hizmet var 
ama ucretsizi de iş görürün üzeri",5,1,3.14,2018-04-20 21:18:15,,
41,gp:AOqpTOF5k1vNJG2SQ9ttSJyePeB8zUBPz_pw4d0hCDwr1YWNDraB0FwZe7xq0gj6ULu-w-dm5q2xNZaZEz_F_A,Emir Yasar,https://play-lh.googleusercontent.com/-ipQANlDNSpY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucngTMJlyR3KmoTUWCBQm-qOahOcog/photo.jpg,😴relax and take it easy ✌,5,7,3.14,2018-04-07 02:40:37,,
42,gp:AOqpTOF5rcdPn-fPEILnzPFxI8-z2qrFB3_LEUyhGa9lP-AOhyTPAZUu8fNWCLm9H2c-J7E40MeBlLoBwG4zsw,Emre Çınkıt,https://play-lh.googleusercontent.com/a-/AOh14Ghh5khedNi9WzuhQmZL55ncwE7esHHuYjCp-Uey9g,Pls Turkish language,5,9,3.14,2018-03-31 08:13:00,,
43,gp:AOqpTOHbb57RknHCgWqpYdeYZof3L8yGXsMRxy-aDbvxaO98DCljElqbFzj3dWwtp4_C496XLZo5r3g_ek2SCg,Esma Hoca,https://play-lh.googleusercontent.com/a-/AOh14Ggwv8nz9ElBatAuQeezbch04HhgwLCjQXBhVNPNXg,I feel better when I am listening. This app is very beautiful 💕,5,5,3.12.2,2018-02-08 02:26:23,,
44,gp:AOqpTOGBUJaC-1YP4U9e5_xamZafJ2YDztyzNfkE9DQ2A04impoptNcZ20hLlRonAzghsvvjCFgg0IVKn9vGTw,Google kullanıcısı,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"This really makes me sleep peacefully. Oh, thanks",5,1,3.12.2,2018-02-27 02:23:14,,
45,gp:AOqpTOF49cZjgg82bkP4qlkcgJPr5ragOOdvLbdFkTo_2HVsAI8mqMAyok4Zpjjf2DK8G4_UeWQLuP3DW2Nbdw,Halil Kaan Yüksel,https://play-lh.googleusercontent.com/a-/AOh14GjLTL6CR3kWM46YzFjY7L9qaF7PymSNRRIJ9jvYVw,Relaxing and making life more enjoyable,5,11,3.12.2,2018-01-29 12:45:59,,
46,gp:AOqpTOE1KCiT7GlkZpXIAOcm_iyQp4iV4slrXayaenPdVD1mYcK4HDaksTkqFWI0p5jpVgEby-2101VMEHRW3A,Sinem Çapar İleri,https://play-lh.googleusercontent.com/a-/AOh14Gi1fJut_EulJNQjo-xq5p0iprlEHIuXvN_8iSCk2A,Love it,5,5,3.12.2,2018-01-26 15:34:53,,
47,gp:AOqpTOH_9_Pzo-ZhxF-Fbi8tyFwsgERGqwpF3MWYcWTFBWqRvRIS1JbB-tiEa0F2P5Zb2DxcNRp0NARPkPg6zw,EMRAH EMRE DOYDUOĞLU,https://play-lh.googleusercontent.com/a-/AOh14Gh71vsQD83kn3OGeLBNJoTyp--zdaYLPd2Qv1dEnw,Over relieving,5,3,3.12.2,2018-01-29 14:42:36,,
48,gp:AOqpTOEJVtcq5v9YsH_9Tie-BaBIRQ4GPJeTwJz-VUeSEBUDCrMLZzBTDSrDE4bCJqtrCB7bj1w5mZD1g2_M2w,Elif Deliceo,https://play-lh.googleusercontent.com/a-/AOh14Gjm0aVBoLonXXu2GO9-rLvGJoNg9ENReKp6H-OaFw,great,5,1,3.12.2,2018-02-03 23:15:15,,
49,gp:AOqpTOEFms8z3BVFaeMcRwKpuqSlWcolrjwusxOh6D8GK_MRbPCIkGUohxBi0oMWNfDiW9HwYtcaRtGVJxu8QQ,Hakan Berkkan,https://play-lh.googleusercontent.com/-eMnq7svOsjE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmMFQhsDS3tSLvDEXKRDslO4C-3YQ/photo.jpg,Super,5,0,3.12.2,2018-02-13 20:25:49,,
50,gp:AOqpTOEeAEsCVst4nM18iK8KL-rErjZjRfZ9QvBoIa7TXNPIt9mcYu6aeUZKoqP5UqWGu4YEpnGLl2ICoFEIVw,NERMİN GÜNAN,https://play-lh.googleusercontent.com/a-/AOh14GhqbPaTYJER1_864GTtp366Vj44DnzNGl-5IDbS,Sakinleşmek için güzel. Teşekkür ederim.🙏,5,2,3.8.2,2017-11-21 22:09:24,,
51,gp:AOqpTOENjXPELNNl_i-Q_suPWOXL_4oQiyHHJpFmHcQq6JOmVndCS35HY-4MkH4a62nXiYEdHmIjcPOZO6iqzA,Cansu Aslı Aşcı,https://play-lh.googleusercontent.com/a-/AOh14Git30oigTlmnKQu5FfEobGMFCC6q6SbV2NKKRDI9A,Best meditation app for learning meditation,5,2,3.8.2,2017-11-26 03:43:19,,
52,gp:AOqpTOEZx1BaTyIc1b2QJZTV0D9zTkqfxG3Sw3huXriLdixD51tJgT4AiSC8YdYmZqF5VjDxtSuUdByMM-1tNQ,Serhat Aydoğmuş,https://play-lh.googleusercontent.com/a-/AOh14GhIM35v-eokL1qEhu0tcK9j7SuEBwY2knbof5iijQ,such a great app but it needs a sleep timer to close the app. otherwise it's awesome,5,2,3.8.1,2017-11-09 04:40:16,,
53,gp:AOqpTOH4r6FvThl1ue8sD3KADvc-SeQ-Vh4fhWdN9Iv3el1nWPDIPy-Op1-NeS4z2QnhaOLdWmo9SgftXXh0ZA,Batuhan Çakır,https://play-lh.googleusercontent.com/-htn9VFPmH0c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucklWUSKrSJRsU7f9virs9j6hzhDZw/photo.jpg,Az bile yardımı oluyosa bence yeterli.,5,5,3.8.1,2017-11-03 18:17:29,,
54,gp:AOqpTOFA9_Gk6NN4XHgoiCDzh_CjVyceD8f5jqwVvwQJU9rHCtPLQBo333Veq2J9o8sO0y6gt8Rq2liMYqXhaA,Ufuk Erdogmus,https://play-lh.googleusercontent.com/a-/AOh14Gj_P3ecLViZBOBnS47_7sFnVMer62jnaKv_PTF2,Yeni başlayalar için süpermiş,5,1,3.8.1,2017-11-03 08:17:15,,
55,gp:AOqpTOHcEqlYl-r-zpOfXoZMbLzknajJiDUpW3as9bFdxZOzUS6jotoNE6n2PwU-v-6Uw3sJMVzh3ct5U2Pe8Q,Alisa Marković,https://play-lh.googleusercontent.com/a-/AOh14GhsotSY_Z0XxkWNoANB1iKFZwm8nrRV8zn5FT1dcaE,Harika!,5,0,3.8.1,2017-10-29 21:04:09,,
56,gp:AOqpTOFeC4joWbMKDGn94miYNsGTcSNXFVg_CWSAiYl6QV0cCTWuS-XL4FqmP_ei70jkPT6n20neFeP3ymgLlg,Google kullanıcısı,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Excellent,5,3,3.8,2017-10-20 20:51:34,,
57,gp:AOqpTOH3QVrUNelfJioSaUmiqgxd7_HE0KHpCcNOnjg5xRWHeJQVTzY4ftlr2HKlUrYrgSYlPcCS25eWjyoXCw,Müfide YILDIRIM,https://play-lh.googleusercontent.com/-DnB8dpQPPBI/AAAAAAAAAAI/AAAAAAAAAFs/AMZuuclomuvCq8JCETUA8rrxUZWqxfBHNg/photo.jpg,Türkçe dil desteği yok mu ?,5,7,3.7.2,2017-10-04 16:53:08,,
58,gp:AOqpTOEZ2lRZNcP0EVytSKvB17lV3ltIFFXWDjknB-v4sTFDllUaWWW1fcmoljudK8BVoAYlxiiWeypP5KF_YA,İnanç Berfin ÖZTÜRK,https://play-lh.googleusercontent.com/a-/AOh14GjIXgBqJ6jc2mz9txGuot8nQAzewY8LOKH7Wnmw,Harika,5,5,3.5.2,2017-08-07 08:00:28,,
59,gp:AOqpTOE3x3dREZHU4BEWFvtTT6ZKXbOmzD9Tg-tTdtHm6VO7my2klxJ3yXU0a1iUyIgz-VfjRPqarbgg0fYMuQ,Onur Murat Küçükkaya,https://play-lh.googleusercontent.com/a-/AOh14GjCT5JnUrS16q96l2u-ONBajA5LJoev4Yrqth2UMw,Just relax.,5,8,3.4.1,2017-05-28 03:19:39,,
60,gp:AOqpTOEkvo7JFYRbfu_MBkzauXtd6VQ8rg7r2rsBNn16oSaB-eAExaNF2j0fopBMmEd9IxMTGmxwd4DkjtRzOw,Sercan Veysi,https://play-lh.googleusercontent.com/a-/AOh14GgOcAP0LyLZGGUQUOxqitIMqquWHS8TYu2z1glMFg,Great,5,7,3.4.1,2017-06-22 13:04:26,,
61,gp:AOqpTOESsNMAZQ40FAwmc_oYUWD3lPg4fCFoPCiz-ggLQhY-L2vkZi7yC87OmZ9-B5xA2ZZIE5wRcvYRF2x0eQ,Coconnutte Coconnutte,https://play-lh.googleusercontent.com/-XfUvLSFg5hk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclDmxRvGuLZ5Yb-EG3QDPIec5mOrA/photo.jpg,"Çok kullanisli, sade bir program. Seslendiren kadının sesi çok rahatlatici ve meditasyonlar gayet çeşitli ve güzel.",5,4,3.3.4,2017-05-09 07:51:55,,
